,Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location
0,12/18/2018,Open,,18-03387982,Street Lights - All/Out,3200 N AUSTIN AVE,60634.0,1135828.07112165,1920652.89532124,30.0,16.0,17.0,41.93844814726,-87.77621462934,"(41.938448147264, -87.776214629335)"
1,12/18/2018,Open - Dup,,18-03387616,Street Lights - All/Out,5300 W MONTROSE AVE,60641.0,1140226.16979736,1928743.80820626,38.0,16.0,15.0,41.96057080937,-87.75985140823,"(41.960570809372, -87.759851408233)"
2,12/18/2018,Open,,18-03387604,Street Lights - All/Out,5100 W MONTROSE AVE,60641.0,1141688.19348685,1928775.70669177,45.0,16.0,15.0,41.96063136584,-87.7544754166,"(41.960631365841, -87.754475416604)"
3,12/18/2018,Open,,18-03387651,Street Lights - All/Out,5500 N MONITOR AVE,60630.0,1136212.07617478,1936200.83562452,45.0,16.0,11.0,41.98110634501,-87.77443059621,"(41.981106345008, -87.774430596215)"
4,12/18/2018,Open,,18-03388032,Street Lights - All/Out,7006 W GRACE ST,60634.0,1128995.71416637,1924459.34298528,38.0,16.0,17.0,41.94901258189,-87.80123875225,"(41.949012581894, -87.801238752251)"
5,12/18/2018,Open,,18-03387372,Street Lights - All/Out,1708 W 82ND ST,60620.0,1166351.12533104,1850323.77358967,21.0,6.0,71.0,41.7448590665,-87.66604337819,"(41.744859066499, -87.666043378189)"
6,12/18/2018,Open,,18-03387713,Street Lights - All/Out,3150 S WESTERN BLVD,60608.0,1160930.29666675,1883331.50628261,25.0,9.0,59.0,41.83555031694,-87.68499410897,"(41.83555031694, -87.684994108969)"
7,12/18/2018,Open,,18-03387910,Street Lights - All/Out,2100 S LAWNDALE AVE,60623.0,1152027.68448827,1889801.90818927,24.0,10.0,29.0,41.85348564872,-87.71749067529,"(41.853485648723, -87.717490675293)"
8,12/18/2018,Open - Dup,,18-03387641,Street Lights - All/Out,5400 W MONTROSE AVE,60641.0,1139555.98169035,1928728.91579394,38.0,16.0,15.0,41.96054222475,-87.76231575389,"(41.960542224746, -87.762315753885)"
9,12/18/2018,Open,,18-03387714,Street Lights - All/Out,10600 S SANGAMON ST,60643.0,1171862.27519936,1834536.41667515,34.0,22.0,73.0,41.70141724543,-87.64631139862,"(41.701417245431, -87.646311398623)"
10,12/18/2018,Open,,18-03387654,Street Lights - All/Out,10800 S EDBROOKE AVE,60628.0,1179158.75056974,1833386.40750619,9.0,5.0,49.0,41.69809862951,-87.6196291131,"(41.698098629509, -87.619629113098)"
11,12/18/2018,Open,,18-03387781,Street Lights - All/Out,12700 S LOWE AVE,60628.0,1174295.0644088,1820662.31508444,9.0,5.0,53.0,41.66329091908,-87.63781345973,"(41.66329091908, -87.637813459729)"
12,12/18/2018,Open,,18-03387701,Street Lights - All/Out,6345 S KARLOV AVE,60629.0,1150129.1783,1862154.133075,13.0,8.0,65.0,41.77765338947,-87.7251771088,"(41.777653389474, -87.725177108803)"
13,12/18/2018,Open,,18-03387936,Street Lights - All/Out,1500 N CICERO AVE,60651.0,1144107.46747355,1909542.1377168,37.0,25.0,25.0,41.90780742833,-87.74606522359,"(41.90780742833, -87.746065223591)"
14,12/18/2018,Open - Dup,,18-03387606,Street Lights - All/Out,5200 W MONTROSE AVE,60641.0,1140896.48548315,1928758.92801468,38.0,16.0,15.0,41.96059996273,-87.7573865863,"(41.960599962729, -87.7573865863)"
15,12/18/2018,Open,,18-03387703,Street Lights - All/Out,4700 S ROCKWELL ST,60632.0,1159824.72590644,1873414.56553101,15.0,9.0,58.0,41.80835986923,-87.68932356854,"(41.80835986923, -87.689323568542)"
16,12/18/2018,Open,,18-03388097,Street Lights - All/Out,8605 S BISHOP ST,60620.0,1168167.73418968,1847683.21189484,21.0,6.0,71.0,41.73757413945,-87.65946281671,"(41.737574139451, -87.659462816714)"
17,12/18/2018,Open,,18-03388534,Street Lights - All/Out,119 W 112TH ST,60628.0,1177394.48261254,1830688.58542861,34.0,5.0,49.0,41.69073535058,-87.62617001738,"(41.690735350584, -87.626170017385)"
18,12/18/2018,Open,,18-03387692,Street Lights - All/Out,6499 S CENTRAL AVE,60638.0,1140207.1473318,1860896.07011309,13.0,8.0,64.0,41.77438783508,-87.76158271771,"(41.774387835079, -87.761582717713)"
19,12/18/2018,Open,,18-03387790,Street Lights - All/Out,7008 S EAST END AVE,60649.0,1188989.01020213,1858828.4668052,5.0,3.0,43.0,41.76768503396,-87.58282391281,"(41.767685033964, -87.582823912806)"
